dd,hh,mm,floor1_zon4_TSupAir_y,floor1_zon4_zon_PPD_y,floor1_zon4_zon_powPC_y,floor1_zon4_ZonCon_Damper_act_y,floor1_zon4_TSetRooHea_y,floor1_zon4_ZonCon_HeaCoi_act_y,floor1_zon4_zon_powMis_y,floor1_zon4_zon_PowLig_y,floor1_zon4_mSupAir_y,floor1_zon4_TSetRooCoo_y,floor1_zon4_TRooAir_y,floor1_zon4_OccSch_y,floor1_zon2_ZonCon_Damper_act_y,floor1_zon2_TSetRooCoo_y,floor1_zon2_zon_PowLig_y,floor1_zon2_TSupAir_y,floor1_zon2_TRooAir_y,floor1_zon2_mSupAir_y,floor1_zon2_ZonCon_HeaCoi_act_y,floor1_zon2_TSetRooHea_y,floor1_zon2_zon_powMis_y,floor1_zon2_OccSch_y,floor1_zon2_zon_powPC_y,floor1_zon2_zon_PPD_y,cmf_PC,cmf_Light,cmf_Misc
1,1,30,293.53156317997957,0.5271313961290682,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.0990806176777,0.0,0.3,299.81,0.0,293.4943717203614,292.14315295370034,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.5205933400930818,0.008962572833117414,0.5631911745515277,0.9983626003125217
1,1,35,293.48591168962724,0.5402450079136394,0.0,0.3,288.71,0.0,0.0,0.0,0.6813608180828341,295.15,292.0107035488737,0.0,0.3,299.81,0.0,293.45316994017253,292.05394059059165,0.6850700732030767,0.0,288.71,0.0,0.0,0.0,0.5338294425750187,0.4441274515801854,0.2452843208066,0.0034814292118379117
1,1,40,289.9883325794057,0.5817037585393992,0.0,0.3,288.71,0.0,0.0,0.0,0.01206545663553695,295.15,291.73054750848064,0.0,0.3,299.81,0.0,289.9578711519832,291.77957003977133,0.01213113234119675,0.0,288.71,0.0,0.0,0.0,0.5744732581427032,0.08792993701118264,0.13197883444918243,0.988735169223108
1,1,45,289.99199310116916,0.6528157692084626,0.0,0.3,288.71,0.0,0.0,0.0,0.011263155547646429,295.15,291.2400573290945,0.0,0.3,299.81,0.0,289.9615642097144,291.30492081619417,0.011324470936697233,0.0,288.71,0.0,0.0,0.0,0.6435830376018513,0.22533728603125752,0.35173736823214274,0.6065295728967944
1,1,50,289.9975844711478,0.7133658365825575,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188098275,295.15,290.80043663830355,0.0,0.3,299.81,0.0,289.9672075942944,290.87671884793247,0.011324467579026278,0.0,288.71,0.0,0.0,0.0,0.7031481270878897,0.008481784926931937,0.21795915042272634,0.05836912748279831
1,1,55,290.00397024231313,0.7641982417734903,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188093078,295.15,290.40303665360375,0.0,0.3,299.81,0.0,289.9736540786986,290.48946562362454,0.011324467579021117,0.0,288.71,0.0,0.0,0.0,0.7535116251401164,0.09063768808215997,0.06727558365014669,0.09486515815700375
1,2,0,290.0106871651073,0.8064602751918994,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188093126,295.15,290.0410169167179,0.0,0.3,299.81,0.0,289.98043535233643,290.1355642695882,0.011324467579021082,0.0,288.71,0.0,0.0,0.0,0.7958296694412866,0.11789164262326686,0.7349744958449248,0.30189762077458804
1,2,5,290.01754812639297,0.8413760341033336,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188093109,295.15,289.70881904405843,0.0,0.3,299.81,0.0,289.98736225815065,289.809584129361,0.011324467579021082,0.0,288.71,0.0,0.0,0.0,0.8311955186105007,0.16752371216016795,0.3456700248998247,0.882280727243198
1,2,10,290.0244660056558,0.870159494831089,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188093109,295.15,289.40133036595876,0.0,0.3,299.81,0.0,289.9943467236731,289.5067134185344,0.011324467579021082,0.0,288.71,0.0,0.0,0.0,0.8606862109612847,0.740728268481995,0.35982716740384585,0.756679518211552
1,2,15,290.0314013764,0.8939074835780942,0.0,0.3,288.71,0.0,0.0,0.0,0.011263152188093109,295.15,289.1138517659253,0.0,0.3,299.81,0.0,290.00134889082614,289.22257164308127,0.011324467579021082,0.0,288.71,0.0,0.0,0.0,0.8852869848779863,0.33893391853927474,0.506583281606246,0.9639225412121846
